大学名,HP,カテゴリ,監督氏名,部員数,新４年人数,新３年人数,新２年人数,新１年人数,24新入部員,25新入部員,22J内定,23J内定,24J内定,24デンソー出場,25デンソー出場,部員主な学部,面数,部員寮,施設特記事項,スポーツ推薦有無,スポーツ推薦基準評定,スポーツ推薦受入人数,セレクション有無,セレクション時期,一般入部可否,入部条件,推薦条件など　他,PLAYMAKERコメント
福井県立大学,,北信越２部 (https://www.notion.so/107526b151028032a857f5b08b0fec87?pvs=21),,0,,,,,,,0,0,0,0,0,,,,,無,,,無,,,,,
福井大学,,北信越２部 (https://www.notion.so/107526b151028032a857f5b08b0fec87?pvs=21),,0,,,,,,,0,0,0,0,0,,,,,無,,,無,,,,,
金沢工業大学,,北信越２部 (https://www.notion.so/107526b151028032a857f5b08b0fec87?pvs=21),,0,,,,,,,0,0,0,0,0,,,,,無,,,無,,,,,
富山大学,,北信越２部 (https://www.notion.so/107526b151028032a857f5b08b0fec87?pvs=21),,0,,,,,,,0,0,0,0,0,,,,,無,,,無,,,,,
新潟大学,https://niigatauniv-footballclub.jimdofree.com/,北信越２部 (https://www.notion.so/107526b151028032a857f5b08b0fec87?pvs=21),,49,12,13,11,13,,,0,0,0,0,0,,,,,無,,,無,,,,,
福井工業大学,https://sc.footballnavi.jp/fut-soccer-ut/,北信越２部 (https://www.notion.so/107526b151028032a857f5b08b0fec87?pvs=21),原 美彦,31,10,6,5,10,,,0,0,0,0,0,,,,,有,,,,,,,,
金沢星稜大学,https://www.instagram.com/kanazawa_seiryo/,北信越２部 (https://www.notion.so/107526b151028032a857f5b08b0fec87?pvs=21),小松崎 保,0,,,,,,,0,0,1,2,1,,,,学内人工芝(星稜高校と共同),有,,,,,,,,
北海道教育大学岩見沢,https://gankyosoccer.com/,北海道１部 (https://www.notion.so/569477c2023647209eca15fde08618c1?pvs=21),安部 久貴,53,13,12,14,14,https://gankyosoccer.com/player/,,0,0,0,6,9,芸術・スポーツ文化学科,1,なし,,有,,5,無,,可,,,教員養成の名門大学。教育大学ということもあり文武両道を実践しながら全国大会の常連となっている。真面目な選手が多くひたむきにハードワークするサッカーをベースにして近年は全国大会でもベスト8に入るなど、躍進が目立つ。国立大学ということもあり、スポーツ推薦枠は少ないが教員を目指している選手は要チェックの大学。
札幌大学,https://www.sapporo-u.ac.jp/campuslife/circle/physical/soccer.html,北海道１部 (https://www.notion.so/569477c2023647209eca15fde08618c1?pvs=21),河端 和哉,83,16,20,22,25,http://www.sapporounivfc.jp/news/info/1363/,,1,2,3,11,7,経済学部、経営学部等,1,なし,,有,3.5,20,有,夏,不可,練習参加 or セレクションで入試前に合格必要,全国大会出場/都道府県大会ベスト8,2018年からOBであり元Jリーガーの河端氏を監督として招聘。全国大会の常連となっているが近年は勝ち上がれていない。力がある選手が多く、デンソーにも多数選手が候補として選出され、実際に出場している。「北海道のサッカー王国を札幌大学に作ろう」を合言葉に日本一を目指して活動している。
東海大学札幌校舎,https://www.footballnavi.jp/tokaisoccer_sp/,北海道１部 (https://www.notion.so/569477c2023647209eca15fde08618c1?pvs=21),菅野　学,58,10,10,17,21,https://www.footballnavi.jp/tokaisoccer_sp/member.php?nowpg=4,,0,0,0,2,2,国際文化学部、生物学部,1,,練習は学校グラウンド(土)や近隣施設を利用,,,,,,,,,
北海学園大学,https://www.hgu.jp/campuslife/circle/soccer.html,北海道１部 (https://www.notion.so/569477c2023647209eca15fde08618c1?pvs=21),伊藤  一志,0,,,,,,,0,0,0,0,0,経済学部、経営学部、法学部等,1,なし,グラウンドは学園の天然芝と公共施設の人工芝を利用,無,,,無,,可,,,2017年より学生だけでの活動に終止符を打ち、OBの協力を得ながらチーム体制の改革を行い、2019年には全国大会にも出場した。北海道1部残留を目指しながら活動している。https://www.instagram.com/hgu_soccer/
北海道大学,https://hokkaidouniv-football.com/,北海道１部 (https://www.notion.so/569477c2023647209eca15fde08618c1?pvs=21),学生監督,53,10,16,9,18,https://hokkaidouniv-football.com/member/#index_id38,,0,0,0,0,0,,1,なし,グラウンドは学内土,無,,,無,,可,,,
北翔大学,,北海道１部 (https://www.notion.so/569477c2023647209eca15fde08618c1?pvs=21),谷木 竜平,0,,,,,,,0,0,0,0,1,生涯スポーツ学部、教育文化学部,1,なし,グラウンドは学内土。トレーニング施設は充実,無,,,,,,,,
城西国際大学,https://www.jiu.ac.jp/campuslife/club/soccer/,千葉１部 (https://www.notion.so/cb308814e4db423b8762f544f416d9f3?pvs=21),福井　哲,86,17,22,23,24,https://www.jiu.ac.jp/campuslife/club/soccer/team.html,,0,1,1,0,0,総合経営学部,1,あり,学内人工芝,有,,20,有,夏,不可,入試前に練習参加必須,,監督は元日本サッカー協会技術委員やFC東京アカデミーアドバイザーを歴任した福井氏。コーチにはジェフで現役時代活躍した茶野氏をはじめ充実した体制を持っている。施設も充実しており入部する選手のレベルも高いことから今後、上位リーグに絡む可能性を秘めている大学
明海大学,http://meikai-sports.jp/football/,千葉１部 (https://www.notion.so/cb308814e4db423b8762f544f416d9f3?pvs=21),岩田 正太,86,21,12,25,28,http://meikai-sports.jp/football/member/,,0,0,0,0,0,外国語学等,1,なし,学内人工芝,有,,20,有,夏,不可,入試前に練習参加必須,特待は全国大会出場が必要,浦安という恵まれた立地の中で学内に人工芝グラウンドを保有している千葉で常に上位に入る大学。スタッフもGKコーチやトレーナーも常駐しておりスカウト活動も精力的に行っている。学部も不動産や旅行系など特色ある学部があることも特徴で特待制度も完備している。
江戸川大学,https://www.edogawa-u.ac.jp/zaigakusei/community/club/football/,千葉１部 (https://www.notion.so/cb308814e4db423b8762f544f416d9f3?pvs=21),鈴木 秀生,74,29,12,14,19,https://www.edogawa-u.ac.jp/zaigakusei/community/club/football/members.html,,0,0,0,0,0,社会学部等,2,なし,学外人工芝,有,,20,無,,不可,入試前に練習参加必須,,監督はS級を持つ鈴木氏。学内にグラウンド1面、学外に2面＋クラブハウスを保有する、施設が充実した大学。千葉県内でも上位争いをしている大学で、選手獲得も含め強化を図っている。少しやんちゃな選手が多い印象だが過去、社会人強豪チームへ進んだ選手も多数をおり、今後の動向に注目。
千葉大学,https://chiba-univ-fc.studio.site/,千葉１部 (https://www.notion.so/cb308814e4db423b8762f544f416d9f3?pvs=21),山本 一広,58,13,11,19,15,https://chiba-univ-fc.studio.site/member,,0,0,0,0,0,工学部、教育学部等,1,なし,学内人工芝,無,,,無,,可,誰でも入部可,,国立大学で学生主体で運営している大学。練習メニューやスケジュール調整も自分たちで行い、サッカーのレベルアップはもちろん、社会性も身に着けるべく活動をしている。学内に人工芝グラウンドもあり、文武両道で活動している。目標は1部上位進出。
千葉商科大学,https://www.cuc.ac.jp/campus/activity/club/list/soccer/index.html,千葉１部 (https://www.notion.so/cb308814e4db423b8762f544f416d9f3?pvs=21),松原 翼,45,14,7,8,16,,,0,0,0,0,0,商経学部、人間社会学部等,1,なし,学内人工芝,無,,,無,,条件有,誰でも入部可場合によっては人数制限の可能性あり,,近年、しっかりと活動をし1部定着を目指している。リクルーティングにも力を入れ始めている。県内だけではなく、県外からの入学者も多く、週5回のトレーニングや試合を通し、成長を図っている。入部人数が多い場合は絞る可能性もあることから興味がある選手は練習参加をおすすめする。
東邦大学,,千葉１部 (https://www.notion.so/cb308814e4db423b8762f544f416d9f3?pvs=21),,0,,,,,,,0,0,0,0,0,,,,,無,,,無,,,,,
東京理科大学,https://tus-footballclub.jimdofree.com/,千葉１部 (https://www.notion.so/cb308814e4db423b8762f544f416d9f3?pvs=21),,0,,,,,,,0,0,0,0,0,,,,,無,,,無,,,,,
淑徳大学,https://shukutokufc.com/,千葉１部 (https://www.notion.so/cb308814e4db423b8762f544f416d9f3?pvs=21),,0,,,,,,,0,0,0,0,0,,,,,無,,,無,,,,,
東京情報大学,http://www.edu.tuis.ac.jp/~soccer/,千葉２部 (https://www.notion.so/592b0e0f4c7f406d84a247430e9d4f35?pvs=21),,0,,,,,,,0,0,0,0,0,,,,,,,,無,,,,,
麗澤大学,,千葉２部 (https://www.notion.so/592b0e0f4c7f406d84a247430e9d4f35?pvs=21),,0,,,,,,,0,0,0,0,0,,,,,無,,,無,,,,,
千葉工業大学,,千葉２部 (https://www.notion.so/592b0e0f4c7f406d84a247430e9d4f35?pvs=21),,0,,,,,,,0,0,0,0,0,,,,,無,,,無,,,,,
神田外国語大学,,千葉２部 (https://www.notion.so/592b0e0f4c7f406d84a247430e9d4f35?pvs=21),,0,,,,,,,0,0,0,0,0,,,,,無,,,無,,,,,
帝京平成大学,https://www.thu.ac.jp/campuslife/club/men_football,千葉２部 (https://www.notion.so/592b0e0f4c7f406d84a247430e9d4f35?pvs=21),橋野 威,40,40,,,,,,0,0,0,0,0,,,,,無,,,無,,,,,
四国学院大学,https://www.footballnavi.jp/shikoku_gakuin/,四国１部 (https://www.notion.so/5fbce004c7074302a90f972b154fa10b?pvs=21),榮井 佑介,37,9,13,8,7,https://www.sg-u.ac.jp/campus_life/activities/club02/,,1,0,1,5,6,社会学部、文学部等,1,大学寮,,有,,,有,夏,可,面談経由でOKになれば入部可,条件なし,四国出身者を中心にチーム構成されており、四国から全国へをモットーに活動。ピッチ外での活動にも力を入れておりチームビルディング合宿や地域貢献活動も多数実施。サッカー選手としても人としても成長できる環境を目指している。総監督はFC東京の育成統括をしていた経験を持つ本吉氏
聖カタリナ大学,https://www.footballnavi.jp/catherine/,四国１部 (https://www.notion.so/5fbce004c7074302a90f972b154fa10b?pvs=21),渡部 誉也,38,14,7,10,7,,,0,0,0,0,5,,,,,有,,,,,,,,
愛媛大学,https://www.ehimeusoccer.com/,四国１部 (https://www.notion.so/5fbce004c7074302a90f972b154fa10b?pvs=21),石本 信親,25,7,8,8,2,,,0,0,0,0,0,,,,,無,,,,,,,,
松山大学,,四国１部 (https://www.notion.so/5fbce004c7074302a90f972b154fa10b?pvs=21),大西 貴,27,6,7,5,9,,,0,0,0,0,0,,,,,無,,,,,,,,
高知大学,https://kufcweb.wixsite.com/kufcwebsite,四国１部 (https://www.notion.so/5fbce004c7074302a90f972b154fa10b?pvs=21),宮武 敢司,107,25,29,25,28,,,0,0,0,0,2,,,,,無,,,無,,,,,
高松大学,https://www.takamatsu-u.ac.jp/life/extracurricular/club-soccer/,四国１部 (https://www.notion.so/5fbce004c7074302a90f972b154fa10b?pvs=21),吉田 明博,34,4,12,8,10,,,0,0,0,0,8,,,,,有,,,,,,,,
鳴門教育大学,,四国２部 (https://www.notion.so/107526b1510280a1812cdccdeaaca7a6?pvs=21),,0,,,,,,,0,0,0,0,0,,,,,無,,,,,,,,
徳島大学,,四国２部 (https://www.notion.so/107526b1510280a1812cdccdeaaca7a6?pvs=21),,0,,,,,,,0,0,0,0,0,,,,,無,,,,,,,,
香川大学,https://kagawaunivfc.wixsite.com/mysite/,四国２部 (https://www.notion.so/107526b1510280a1812cdccdeaaca7a6?pvs=21),澤 宜英,31,2,5,10,14,,,0,0,0,0,0,,,,,無,,,,,,,,
高知工科大学,,四国２部 (https://www.notion.so/107526b1510280a1812cdccdeaaca7a6?pvs=21),,0,,,,,,,0,0,0,0,0,,,,,無,,,,,,,,
成蹊大学,http://seikei-fc.com/,東京・神奈川１部 (https://www.notion.so/5cc1e3b2f1994cfa8535162e9423f040?pvs=21),宮下 尚麿,81,26,24,16,15,,,0,0,0,0,0,経済学部、法学部等,2,なし,学内人工芝,無,,,無,,可,誰でも入部可,スポーツ推薦はないが、現役生から推薦入試など対策サポートを受けられる,過去、関東リーグ在籍経験も持つチームであり、学生が主体となり活動をしている。強豪高出身者だけでなくそうでない選手も多いが意識が高く、本気で文武両道を目指したい選手にはおすすめ。OBとの関わりも強く、文武両道を掲げているため、就職実績もとてもよくしっかりした選手が多い印象。
朝鮮大学校,https://korea-u-fc.com/,東京・神奈川１部 (https://www.notion.so/5cc1e3b2f1994cfa8535162e9423f040?pvs=21),藤代 隆介,69,32,18,19,,,,0,1,1,0,0,体育学部、経営学部等,1,全寮制,学内人工芝,,,,無,,可,誰でも入部可,,朝鮮高級学校卒業もしくは見込みの者、または日本の高等学校を卒業もしくは見込みで朝鮮人の子孫であることが出願資格になる大学。過去は関東リーグにも所属した経験を持ち、ダイナミックでひたむきなプレースタイルを貫いている。大学は全寮制をとっている。
学習院大学,http://www.gfc-ob.jp/,東京・神奈川１部 (https://www.notion.so/5cc1e3b2f1994cfa8535162e9423f040?pvs=21),榎本 久志,58,15,17,12,14,,,0,0,0,0,0,法学部、経済学部等,1,なし,学内人工芝（サイズ少し小さい）,無,,,無,,可,誰でも入部可,,学生主体でチーム運営をしているチーム。学内に高校と併用で人工芝グランドを保有している。学校柄、まじめな選手が多く、真摯にサッカーに取り組んでいるイメージ。文武両道を目指しながらサッカーに取り組むにはとても良い環境
帝京大学,https://teikyo-univ-soccer.com/,東京・神奈川１部 (https://www.notion.so/5cc1e3b2f1994cfa8535162e9423f040?pvs=21),田村 仁崇,120,24,28,23,45,,,0,0,0,0,0,教育学部、経済学部等,1,なし,学内人工芝,無,,,有,入学後,条件有,入学後のセレクションで合格が必要,,元Jリーガーの監督を擁し、部員制限も行いながら強化を図っており、このリーグ内では関東リーグと近い形でリクルートを行っている。近年は1部リーグでなかなか上位に食い込めていないが、強豪校出身が多くオフザピッチの取り組みよりもよりオンザピッチに打ち込むタイプのチームである。
玉川大学,https://sc.footballnavi.jp/tamagawafootball/page.php?pno=363,東京・神奈川１部 (https://www.notion.so/5cc1e3b2f1994cfa8535162e9423f040?pvs=21),小杉 賢三,43,10,16,10,7,,,0,0,0,0,0,教育学部、経営学部等,1,なし,学内人工芝,無,,,無,,可,誰でも入部可,,町田ゼルビアと提携しており、監督が派遣されている。昨季は久々の1部復帰となったが、上位へ食い込むことができず、苦しいシーズンとなった。大学内にグラウンドをはじめ様々な施設を有しているおり環境は充実している。また教育学部があることから教員志望者は要チェック
大東文化大学,https://daitofc.jimdo.com/,東京・神奈川１部 (https://www.notion.so/5cc1e3b2f1994cfa8535162e9423f040?pvs=21),鈴木 宏尚,73,17,25,14,17,,,0,0,0,0,0,スポーツ・健康学部、経済学部等,1,なし,グラウンドは東松山,無,,,有,夏,不可,セレクションの合格及び、入試合格が必要,,埼玉県東松山に拠点を構えるチーム。スポーツ推薦はないものの、セレクション等で人数制限をかけていることから、関東リーグ所属大学に近い形式で選手募集を行っている。所属選手は強豪校出身者が多く昨年は2部リーグだったものの実力的には関東昇格に近い大学といえる。常勤スタッフが少ないことがネック
東京大学,https://todai-soccer.com/,東京・神奈川１部 (https://www.notion.so/5cc1e3b2f1994cfa8535162e9423f040?pvs=21),桑原 徹,61,17,12,14,18,,,0,0,0,0,0,医学部、教育学部、法学部等,2,なし,学内人工芝,無,,,無,,可,誰でも入部可,,チャンピオンズリーグ解説などでおなじみの林稜平さんが監督を務め、学生主体の部運営を行っている。プレー面だけではなくリクルートや広報、国際活動など様々な角度から運営ユニットを形成し、取り組みを進めている。まさしく文武両道を体現するチーム
武蔵大学,https://www.f-togakuren.com/teams/423,東京・神奈川１部 (https://www.notion.so/5cc1e3b2f1994cfa8535162e9423f040?pvs=21),眞田 翔太,44,6,11,13,14,,,0,0,0,0,0,経済学部、社会学部等,1,なし,学内人工芝,無,,,無,,可,誰でも入部可,,東京都内の好立地にキャンパス・グラウンドを構えるチーム。指定校などで全国の強豪校からの入部者が多く、レベルの高い選手が揃うが、近年は部員数もそこまで多くない状態で推移している。6年ぶりの1部リーグでどのような活躍ができるか注目。SNSの発信にも力を入れ始めており、要チェック。
日本大学文理学部,https://chonbo1975.wixsite.com/chonbo,東京・神奈川１部 (https://www.notion.so/5cc1e3b2f1994cfa8535162e9423f040?pvs=21),野口 哲雄,51,6,18,12,15,,,0,0,0,0,0,,0,なし,公共施設を利用,無,,,無,,可,誰でも入部可,,
東京理科大学,https://tus-footballclub.jimdofree.com/,東京・神奈川１部 (https://www.notion.so/5cc1e3b2f1994cfa8535162e9423f040?pvs=21),安形 直也,50,12,12,14,12,,,0,0,0,0,0,理学部、工学部、経営学部等,0,なし,公共施設を利用,無,,,無,,可,誰でも入部可,,フットボールに打ち込む環境を主体的に作り続けることを理念として掲げ、まさに学生主体で活動をしているチーム。一昨年には学生がスポンサーを獲得したりとオフザピッチで学べることも多い。その中で企業で働きながらサポートしてくれる社会人スタッフの支えもある。理科大学だが文系学部もある
横浜国立大学,https://ynufc.com/,東京・神奈川１部 (https://www.notion.so/5cc1e3b2f1994cfa8535162e9423f040?pvs=21),若色 史行（学生）,59,15,18,17,9,,,0,0,0,0,0,経済学部、経営学部等,1,なし,学内人工芝,無,,,無,,可,誰でも入部可,,神奈川県で常に上位へ食い込み、関東リーグ参入戦などにも出場歴がある。近年グラウンドが人工芝化され環境が整い始めている。国立大学ということもあり、実力ある選手が多く集まるわけではないが、学生同士で切磋琢磨しながら、オンザピッチ、オフザピッチ両面で成長できる環境となっている。
桜美林大学,https://www.obirin.ac.jp/sports/soccer/staff/,東京・神奈川１部 (https://www.notion.so/5cc1e3b2f1994cfa8535162e9423f040?pvs=21),村澤 扶路雄,43,,4,30,9,,,0,0,0,0,0,,,なし,,有,,,有,夏,可,誰でも入部可,,
上智大学,https://sophia-soccer.com/2021/,東京・神奈川２部 (https://www.notion.so/8db16d0670ff407ba155682fbe3321c0?pvs=21),森 海渡（学生）,51,13,12,13,13,,,0,0,0,0,0,外国語学部、法学部、理工学部等,1,なし,グラウンド土,無,,,無,,可,誰でも入部可,,THE学生主体を体現するチーム。サッカー面では関東昇格を掲げ、1部リーグを戦い、オフザピッチではサッカー教室の実施やウォーキングサッカー教室など学生が企画運営を行いながら地域との繋がりを増やしている。学内グラウンドは土なのがネックになるが公共施設を借りながら活動をしている。
一橋大学,https://fcikkyo.com/,東京・神奈川２部 (https://www.notion.so/8db16d0670ff407ba155682fbe3321c0?pvs=21),赤星 真一,64,15,17,18,14,,,0,0,0,0,0,,1,なし,学内人工芝,無,,,無,,可,誰でも入部可,,
成城大学,http://www.seijofootballclub.com/,東京・神奈川２部 (https://www.notion.so/8db16d0670ff407ba155682fbe3321c0?pvs=21),大跡 賢介,42,7,15,13,7,,,0,0,0,0,0,経済学部、経営学部等,1,なし,学内人工芝伊勢原にも施設あり,無,,,無,,可,誰でも入部可,,昨季、新チームの初陣となる東京カップ(天皇杯予選)で決勝まで勝ち上がる活躍を見せた。スポーツ推薦はないものの、サッカーが好きな選手があつまり、学内の人工芝グラウンドで活動している。目標だった1部のステージでどのような活躍ができるか要チェック
東京都立大学,https://tmu-soccer.jimdofree.com/,東京・神奈川２部 (https://www.notion.so/8db16d0670ff407ba155682fbe3321c0?pvs=21),石橋 理之,44,9,12,12,11,,,0,0,0,0,0,,,なし,,無,,,無,,可,誰でも入部可,,
東京工業大学,https://www.tokyotech-fc.org/,東京・神奈川２部 (https://www.notion.so/8db16d0670ff407ba155682fbe3321c0?pvs=21),室田 真男,38,5,8,11,14,,,0,0,0,0,0,,,なし,,無,,,無,,可,誰でも入部可,,
芝浦工業大学,https://shibaurasoccerofficial.com/,東京・神奈川２部 (https://www.notion.so/8db16d0670ff407ba155682fbe3321c0?pvs=21),石﨑 聡之,43,7,5,18,13,,,0,0,0,0,0,,,なし,,無,,,無,,可,誰でも入部可,,
日本大学生物資源科学部,https://college-of-bioresource-sciences-nihon-university-f.jimdosite.com/,東京・神奈川２部 (https://www.notion.so/8db16d0670ff407ba155682fbe3321c0?pvs=21),諏訪部 健,38,5,12,9,12,,,0,0,0,0,0,,,なし,,無,,,無,,可,誰でも入部可,,
創価大学,https://gakuyukai.soka.ac.jp/club/taiiku/clubs/c010.html,東京・神奈川２部 (https://www.notion.so/8db16d0670ff407ba155682fbe3321c0?pvs=21),伴 潔俊,30,11,6,8,5,,,0,0,0,0,0,,,なし,,無,,,無,,可,誰でも入部可,,
工学院大学,https://sites.google.com/view/kogakuinsoccer/,東京・神奈川２部 (https://www.notion.so/8db16d0670ff407ba155682fbe3321c0?pvs=21),徳永 正明,40,1,16,14,9,,,0,0,0,0,0,,,なし,,無,,,無,,可,誰でも入部可,,
神奈川工科大学,https://www.instagram.com/kaitfootball/,東京・神奈川２部 (https://www.notion.so/8db16d0670ff407ba155682fbe3321c0?pvs=21),齋藤 雄二郎,0,,,,,,,0,0,0,0,0,,,なし,,無,,,無,,可,誰でも入部可,,
東京外国語大学,https://tufsfchp.wixsite.com/home,東京・神奈川３部 (https://www.notion.so/191526b151028073aa6bf5fdf5c3ebb4?pvs=21),大崎 建,36,9,10,6,11,,,0,0,0,0,0,,1,なし,学内人工芝,無,,,無,,可,誰でも入部可,,
横浜市立大学,https://ycu-football.com/,東京・神奈川３部 (https://www.notion.so/191526b151028073aa6bf5fdf5c3ebb4?pvs=21),木下 郁雄,0,,,,,,,0,0,0,0,0,,,なし,,無,,,無,,可,誰でも入部可,,
武蔵野大学,https://www.instagram.com/musashino_soccer/?hl=ja,東京・神奈川３部 (https://www.notion.so/191526b151028073aa6bf5fdf5c3ebb4?pvs=21),諸岡 良徳,34,6,6,11,11,,,0,0,0,0,0,,,なし,,無,,,無,,可,誰でも入部可,,
国際基督教大学,https://icufc.com/,東京・神奈川３部 (https://www.notion.so/191526b151028073aa6bf5fdf5c3ebb4?pvs=21),有元 健,35,1,9,13,12,,,0,0,0,0,0,,,なし,,無,,,無,,可,誰でも入部可,,
日本文化大學,https://www.instagram.com/nihonbunka_soccer/,東京・神奈川３部 (https://www.notion.so/191526b151028073aa6bf5fdf5c3ebb4?pvs=21),新井 辰也,19,,8,10,1,,,0,0,0,0,0,,,なし,,有,,,無,,条件有,入試前に練習参加必須,,
防衛大学校,http://www.nda.ac.jp/ed/soccer/,東京・神奈川３部 (https://www.notion.so/191526b151028073aa6bf5fdf5c3ebb4?pvs=21),小圷 昭仁,0,,,,,,,0,0,0,0,0,,,大学寮,,無,,,無,,可,誰でも入部可,,
都留文科大学,https://www.instagram.com/tsuru_fc/,東京・神奈川３部 (https://www.notion.so/191526b151028073aa6bf5fdf5c3ebb4?pvs=21),堀 泰伸,30,7,8,8,7,,,0,0,0,0,0,,,なし,,無,,,無,,可,誰でも入部可,,
電気通信大学,http://www.dentsusoccer.club.uec.ac.jp/,東京・神奈川３部 (https://www.notion.so/191526b151028073aa6bf5fdf5c3ebb4?pvs=21),安藤 創一,29,4,4,10,11,,,0,0,0,0,0,,,なし,,無,,,無,,可,誰でも入部可,,
東京農工大学,https://redondoprincipe.wixsite.com/tuat-soccerclub,東京・神奈川３部 (https://www.notion.so/191526b151028073aa6bf5fdf5c3ebb4?pvs=21),宇佐美 慶人,30,0,8,5,17,,,0,0,0,0,0,,,なし,,無,,,無,,可,誰でも入部可,,
北里大学,https://www.instagram.com/kitasato_soccer/,東京・神奈川チャレンジ (https://www.notion.so/10b526b15102802a9dbcdc728766ad7e?pvs=21),関 将志,41,5,12,8,16,,,0,0,0,0,0,,,なし,,無,,,無,,可,誰でも入部可,,
東京薬科大学,@touyaku_tuff,東京・神奈川チャレンジ (https://www.notion.so/10b526b15102802a9dbcdc728766ad7e?pvs=21),学生のみ,28,,10,15,3,,,0,0,0,0,0,,,なし,,無,,,無,,可,誰でも入部可,,
明星大学,@meiseisoccer,東京・神奈川チャレンジ (https://www.notion.so/10b526b15102802a9dbcdc728766ad7e?pvs=21),矢吹 和宏,22,0,9,6,7,,,0,0,0,0,0,,,なし,,無,,,無,,可,誰でも入部可,,
和光大学,https://wakosoccoer.web.fc2.com/soccer.html,東京・神奈川チャレンジ (https://www.notion.so/10b526b15102802a9dbcdc728766ad7e?pvs=21),矢田 秀昭,0,,,,,,,0,0,0,0,0,,,なし,,無,,,無,,可,誰でも入部可,,
松蔭大学,https://www.footballnavi.jp/shoin/,東京・神奈川チャレンジ (https://www.notion.so/10b526b15102802a9dbcdc728766ad7e?pvs=21),植田 龍之介,21,7,2,8,4,,,0,0,0,0,0,,,なし,,有,,,無,,可,誰でも入部可,,
仙台大学,https://www.sendaidaigaku.jp/club.html?post=337,東北１部 (https://www.notion.so/14d13f4c03f0471c9a5650406ec1639d?pvs=21),吉井 秀邦(復帰),208,208,,,,,,1,5,2,11,11,体育学部等,1,なし,トレーニング施設充実,有,,15,無,,可,スポーツ推薦 or 入試前に練習参加が必要,全国大会出場,体育の教員免許が取れる。ウェイトトレーニングやコンディショニングを専属の教員がいるだけではなく、サッカー部専門のインストラクターが常駐しているため本人次第の意識次第でうまく使いこなせるかどうかが重要となる。ベガルタ仙台と提携しスタッフ派遣を受けていたり、練習参加や練習試合もよく行われている。東北随一のプロ選手輩出数を誇る体育大学。
富士大学,https://www.footballnavi.jp/fujiunivfc/,東北１部 (https://www.notion.so/14d13f4c03f0471c9a5650406ec1639d?pvs=21),鳴尾 直軌,79,28,24,27,,,,1,0,0,6,5,経済学部,1,なし,室内練習場あり,有,3,20,無,,不可,練習参加で入試前に合格必要,必ず練習参加が必須,充実した施設のもと、全カテゴリー全国大会出場を目指している東北の強豪大学。オフザピッチの取り組みにも力をいれており、多角的にサッカーと関わる機会が多い。スカウティングを強化しており関東の有力選手が進学するパターンも増えている。Jクラブで指導経験があるスタッフが加入し、よりレベルが高くなる可能性がありそう。いい環境でサッカーを続けたい選手は環境を一度見ることをオススメ。
東北福祉大学,https://www.tfu.ac.jp/club/soccer/12.html,東北１部 (https://www.notion.so/14d13f4c03f0471c9a5650406ec1639d?pvs=21),国井 精一,54,54,,,,,,0,0,0,0,0,,,,,,,,,,,,,
